Moschettone SX
t1: 56:34:88:66:fc:a2
Moschettone DX
t2: AB:67:88:FC:10:b6
Sternale
t3: AB:67:88:FC:10:b6

PAN;PT1;PT2;AxAN;AyAN;AzAN;AxTM1;AyTM1;AzTM1;AxTR1;AyTR1;AzTR1;AxTM2;AyTM2;AzTM2;AxTR2;AyTR2;AzTR2;GxAN;GyAN;GzAN;GxTM1;GyTM1;GzTM1;GxTR1;GyTR1;GzTR1;GxTM2;GyTM2;GzTM2;GxTR2;GyTR2;GzTR2;TIMESTAMP
98668.316;98731.066;98691.830;318.908;556.076;790.560;96.319;-594.323;-729.316;128.832;898.225;-268.339;-963.190;-11.407;-86.071;-50.996;-962.702;122.610;12967.500;22120.000;7332.500;-11655.000;71242.500;347550.000;47915.000;9345.000;-353832.500;-13772.500;-4690.000;16100.000;-6212.500;-13212.500;-16957.500;1719306512011;
98668.316;98731.066;98691.830;302.926;554.368;780.800;112.118;-699.792;-703.269;132.187;861.686;-270.535;-927.139;15.982;-79.300;-47.641;-925.309;124.806;6895.000;24605.000;6842.500;-22662.500;100065.000;329787.500;78295.000;-3377.500;-320635.000;-10115.000;-7805.000;18672.500;-9747.500;-9572.500;-19460.000;1719306512032;
98668.316;98731.066;98691.830;302.926;554.368;780.800;166.957;-874.557;-606.096;136.030;815.936;-254.126;-916.220;22.387;-76.494;-42.822;-911.828;110.898;6895.000;24605.000;6842.500;-49717.500;153177.500;286947.500;134767.500;-34562.500;-300335.000;-8837.500;-9555.000;20527.500;-11585.000;-8487.500;-21192.500;1719306512040;
98668.316;98731.066;98691.751;241.560;487.939;811.666;198.128;-944.951;-528.870;139.385;801.296;-231.434;-916.586;43.737;-69.296;-18.910;-909.998;57.462;8872.500;24500.000;6685.000;-64662.500;176207.500;262762.500;181212.500;-69667.500;-254117.500;-9625.000;-12915.000;27737.500;-14700.000;-8750.000;-26547.500;1719306512055;
98668.316;98730.859;98691.751;262.300;518.378;819.169;249.368;-1050.786;-402.173;149.877;775.432;-193.858;-921.893;45.872;-64.721;-43.920;-915.976;67.466;8207.500;29260.000;6755.000;-95200.000;213902.500;210525.000;200235.000;-87430.000;-228935.000;-10097.500;-13195.000;29750.000;-15452.500;-9660.000;-30485.000;1719306512076;
98668.282;98730.859;98691.751;296.033;578.768;770.979;306.769;-1211.033;-288.835;183.183;775.920;-162.748;-933.117;47.702;-45.750;-61.549;-920.307;77.897;9502.500;27842.500;8190.000;-124547.500;242987.500;154367.500;231840.000;-121747.500;-175052.500;-8085.000;-14700.000;34895.000;-16397.500;-8890.000;-32952.500;1719306512087;
98668.282;98730.859;98691.751;87.352;599.630;735.477;351.116;-1516.277;412.848;336.598;546.377;108.580;-950.990;33.062;-40.260;-66.612;-953.613;101.626;3325.000;28752.500;6002.500;-166862.500;228007.500;-9922.500;222040.000;-174002.500;-9030.000;-4007.500;-16222.500;37870.000;-19862.500;-962.500;-38202.500;1719306512137;
98668.282;98730.859;98691.751;38.003;580.598;778.238;389.180;-1580.754;846.009;393.633;532.286;297.741;-926.529;141.825;235.826;130.662;-881.877;-165.737;10167.500;20825.000;5827.500;-175507.500;195545.000;-101570.000;190977.500;-186742.500;86537.500;-18130.000;-8767.500;32672.500;-7210.000;-26092.500;-31272.500;1719306512144;
98668.235;98730.871;98691.588;115.595;604.144;814.289;421.327;-1558.733;859.673;390.339;605.608;311.222;-963.129;-196.176;317.505;-389.424;-934.581;175.497;13912.500;17867.500;10167.500;-176505.000;169715.000;-150447.500;166337.500;-189577.500;138022.500;-23852.500;-17185.000;35000.000;-12110.000;-28315.000;-32130.000;1719306512174;
98668.235;98730.871;98691.588;140.422;593.774;812.032;403.637;-1365.851;947.696;370.575;763.293;366.000;-1382.199;-529.480;194.895;811.239;-1486.753;-405.589;14315.000;19337.500;11112.500;-176067.500;118982.500;-246067.500;118317.500;-193147.500;237755.000;48037.500;-70542.500;39445.000;-77805.000;44730.000;-19897.500;1719306512190;
