Moschettone SX
t1: 56:34:88:66:fc:a2
Moschettone DX
t2: AB:67:88:FC:10:b6
Sternale
t3: AB:67:88:FC:10:b6

PAN;PT1;PT2;AxAN;AyAN;AzAN;AxTM1;AyTM1;AzTM1;AxTR1;AyTR1;AzTR1;AxTM2;AyTM2;AzTM2;AxTR2;AyTR2;AzTR2;GxAN;GyAN;GzAN;GxTM1;GyTM1;GzTM1;GxTR1;GyTR1;GzTR1;GxTM2;GyTM2;GzTM2;GxTR2;GyTR2;GzTR2;TIMESTAMP
98636.040;98685.648;98650.413;264.801;614.453;760.975;-964.654;254.736;40.687;193.492;-979.172;-88.694;-978.806;211.365;6.771;198.128;-979.294;-16.897;525.000;332.500;-472.500;315.000;-17.500;-280.000;87.500;787.500;87.500;1015.000;560.000;140.000;-35.000;262.500;-367.500;1719308452833;
98636.040;98685.648;98650.448;262.849;613.294;760.609;-964.288;254.370;42.212;193.187;-980.209;-89.731;-980.148;210.450;7.503;197.884;-980.087;-17.202;455.000;437.500;-490.000;262.500;-122.500;-245.000;0.000;770.000;35.000;910.000;280.000;140.000;-332.500;157.500;-402.500;1719308452845;
98636.040;98685.648;98650.828;260.775;614.087;763.415;-965.325;254.553;42.090;193.736;-979.721;-87.779;-979.233;208.559;7.381;197.457;-979.843;-16.592;420.000;385.000;-507.500;227.500;-192.500;-245.000;-122.500;752.500;35.000;735.000;-315.000;122.500;-945.000;-35.000;-350.000;1719308452874;
98636.301;98685.648;98650.828;260.470;621.224;761.463;-965.691;254.187;40.382;193.187;-980.209;-89.182;-981.429;209.291;6.954;198.555;-978.928;-17.019;420.000;472.500;-525.000;175.000;-315.000;-297.500;-315.000;682.500;105.000;735.000;-455.000;87.500;-1102.500;-105.000;-280.000;1719308452911;
98636.301;98685.438;98650.828;259.677;618.906;760.670;-965.447;256.017;41.053;193.492;-978.074;-88.877;-978.989;211.365;5.978;197.762;-979.233;-16.287;437.500;455.000;-612.500;192.500;-455.000;-332.500;-332.500;665.000;70.000;700.000;-542.500;70.000;-1137.500;-122.500;-280.000;1719308452920;
98636.301;98685.438;98650.828;259.677;618.906;760.670;-965.142;254.248;40.016;192.821;-979.965;-89.060;-979.660;209.596;4.453;197.457;-980.026;-17.324;437.500;455.000;-612.500;175.000;-490.000;-245.000;-437.500;682.500;17.500;717.500;-595.000;175.000;-1225.000;-87.500;-350.000;1719308452927;
98636.315;98685.438;98650.828;260.409;616.954;762.073;-966.423;255.224;39.711;194.468;-978.745;-88.328;-980.270;208.376;3.721;197.579;-979.538;-16.836;262.500;245.000;-367.500;140.000;-595.000;-315.000;-507.500;647.500;105.000;665.000;-595.000;140.000;-1242.500;-105.000;-315.000;1719308452971;
98636.315;98685.438;98651.230;261.568;615.551;761.890;-965.752;255.224;38.918;193.248;-980.087;-88.206;-980.453;211.853;2.318;198.982;-979.477;-17.141;280.000;175.000;-367.500;122.500;-595.000;-280.000;-542.500;630.000;52.500;735.000;-560.000;122.500;-1172.500;-70.000;-332.500;1719308452980;
98636.315;98685.438;98651.230;261.568;615.551;761.890;-965.264;253.638;38.430;193.309;-980.087;-88.450;-979.294;211.243;2.379;197.701;-980.209;-17.141;280.000;175.000;-367.500;105.000;-577.500;-245.000;-507.500;595.000;17.500;752.500;-507.500;122.500;-1137.500;-70.000;-350.000;1719308452988;
98636.315;98685.663;98651.230;260.714;613.660;762.561;-965.081;252.601;37.759;192.821;-979.904;-88.755;-980.392;209.657;2.989;197.091;-979.660;-17.263;315.000;157.500;-367.500;105.000;-577.500;-280.000;-490.000;612.500;35.000;735.000;-455.000;157.500;-1067.500;-70.000;-315.000;1719308452995;
98636.315;98685.663;98651.230;261.019;618.479;763.659;-964.776;255.041;37.637;192.943;-979.538;-88.938;-981.124;209.108;2.013;198.006;-980.392;-17.507;332.500;0.000;-402.500;122.500;-542.500;-332.500;-507.500;630.000;105.000;735.000;-402.500;105.000;-1032.500;-70.000;-332.500;1719308453010;
98636.315;98685.663;98651.230;261.263;615.856;765.123;-965.203;256.383;38.064;193.614;-978.623;-88.206;-980.148;211.426;1.769;198.799;-979.721;-17.385;332.500;-105.000;-437.500;140.000;-525.000;-280.000;-402.500;665.000;70.000;752.500;-280.000;105.000;-945.000;-35.000;-332.500;1719308453031;
98636.251;98685.663;98651.354;262.178;616.344;763.720;-966.728;252.967;38.308;194.407;-980.331;-88.328;-980.148;211.609;1.342;198.555;-979.721;-16.592;350.000;-157.500;-455.000;140.000;-472.500;-280.000;-385.000;665.000;35.000;787.500;-245.000;122.500;-857.500;0.000;-350.000;1719308453041;
98636.251;98685.933;98651.354;261.629;616.405;762.866;-966.362;254.492;38.003;193.187;-980.575;-88.511;-980.697;207.827;1.647;198.189;-980.697;-17.751;385.000;87.500;-385.000;210.000;-297.500;-245.000;-262.500;700.000;17.500;787.500;-122.500;105.000;-717.500;35.000;-350.000;1719308453091;
98636.251;98685.933;98651.354;262.605;616.893;761.829;-965.813;253.089;37.698;192.577;-979.416;-88.877;-979.843;209.535;1.769;198.738;-981.429;-16.653;385.000;87.500;-385.000;227.500;-262.500;-245.000;-140.000;770.000;17.500;840.000;-35.000;105.000;-630.000;87.500;-297.500;1719308453100;
98636.449;98685.933;98650.778;260.714;618.540;762.683;-967.094;252.479;38.979;193.492;-979.477;-88.816;-979.599;209.047;3.843;197.213;-980.392;-17.812;350.000;17.500;-437.500;262.500;-175.000;-315.000;-122.500;752.500;122.500;910.000;175.000;122.500;-472.500;140.000;-367.500;1719308453130;
98636.449;98685.933;98650.778;260.714;618.540;762.683;-964.898;254.858;39.589;193.797;-978.074;-88.267;-978.989;212.890;3.538;198.372;-980.575;-16.592;350.000;17.500;-437.500;262.500;-122.500;-297.500;-175.000;752.500;140.000;910.000;227.500;105.000;-367.500;157.500;-367.500;1719308453138;
98636.449;98685.933;98650.778;260.958;619.150;762.012;-965.386;254.492;40.077;195.078;-979.294;-89.426;-980.514;211.426;3.416;198.677;-979.721;-17.385;350.000;0.000;-420.000;262.500;-175.000;-245.000;-105.000;770.000;52.500;910.000;280.000;140.000;-367.500;140.000;-402.500;1719308453146;
98636.449;98686.106;98650.778;262.727;619.516;762.134;-965.935;253.028;39.528;193.919;-980.148;-89.182;-979.782;209.535;4.270;198.128;-979.599;-18.117;367.500;35.000;-367.500;227.500;-192.500;-280.000;-105.000;770.000;52.500;962.500;315.000;122.500;-332.500;157.500;-402.500;1719308453167;
98636.449;98686.106;98650.778;261.873;619.455;760.914;-965.325;255.529;39.894;193.431;-978.928;-89.365;-978.989;211.365;3.965;198.433;-979.477;-16.836;350.000;-17.500;-455.000;245.000;-210.000;-332.500;-105.000;717.500;87.500;980.000;332.500;105.000;-315.000;140.000;-350.000;1719308453190;
98636.449;98686.106;98650.778;261.873;619.455;760.914;-965.447;254.187;40.626;193.492;-980.087;-89.426;-979.965;211.060;2.867;198.311;-979.782;-18.300;350.000;-17.500;-455.000;262.500;-227.500;-297.500;-70.000;735.000;17.500;980.000;350.000;140.000;-262.500;175.000;-437.500;1719308453196;
